id,emp_length,home_ownership,annual_inc
68407277,10+ years,MORTGAGE,55000.0
68355089,10+ years,MORTGAGE,65000.0
68341763,10+ years,MORTGAGE,63000.0
66310712,10+ years,MORTGAGE,110000.0
68476807,3 years,MORTGAGE,104433.0
68426831,4 years,RENT,34000.0
68476668,10+ years,MORTGAGE,180000.0
67275481,10+ years,MORTGAGE,85000.0
68466926,6 years,RENT,85000.0
68616873,10+ years,MORTGAGE,42000.0
68356421,6 years,MORTGAGE,95000.0
68426545,1 year,MORTGAGE,70000.0
68338832,3 years,MORTGAGE,64000.0
66624733,7 years,RENT,150000.0
68466961,10+ years,MORTGAGE,92000.0
68354783,8 years,MORTGAGE,60000.0
68466916,10+ years,MORTGAGE,109000.0
68577849,10+ years,MORTGAGE,112000.0
68506798,5 years,RENT,64000.0
68495092,8 years,RENT,55000.0
68566886,10+ years,MORTGAGE,65000.0
68009401,10+ years,MORTGAGE,48000.0
68476702,2 years,OWN,125000.0
68436666,2 years,RENT,79000.0
68476715,10+ years,MORTGAGE,100000.0
67849662,5 years,RENT,35000.0
68596180,9 years,OWN,65000.0
68526907,< 1 year,MORTGAGE,109000.0
68607141,< 1 year,MORTGAGE,88000.0
68526883,10+ years,MORTGAGE,44000.0
67715283,10+ years,MORTGAGE,65000.0
68341789,4 years,MORTGAGE,75000.0
68533595,1 year,RENT,98000.0
68415473,9 years,MORTGAGE,79000.0
68537655,10+ years,MORTGAGE,118000.0
68446769,10+ years,MORTGAGE,59000.0
68367011,< 1 year,RENT,52000.0
68407301,10+ years,MORTGAGE,195000.0
68356614,10+ years,MORTGAGE,72500.0
68426865,6 years,RENT,110000.0
68476676,5 years,RENT,70000.0
68566951,2 years,MORTGAGE,55000.0
68615044,9 years,MORTGAGE,142000.0
68527009,5 years,RENT,75000.0
68547583,< 1 year,MORTGAGE,100000.0
68587709,2 years,RENT,54649.0
68446771,< 1 year,RENT,55000.0
66796130,10+ years,MORTGAGE,92000.0
68617034,2 years,RENT,43160.0
68387134,10+ years,MORTGAGE,50000.0
68566925,10+ years,MORTGAGE,69000.0
68516838,10+ years,OWN,68046.0
68476697,6 years,MORTGAGE,48000.0
68566856,10+ years,OWN,60000.0
68543413,4 years,MORTGAGE,91392.0
68366663,,OWN,77900.0
68416916,10+ years,MORTGAGE,75000.0
68444620,10+ years,MORTGAGE,128000.0
68082535,10+ years,MORTGAGE,50000.0
68466995,2 years,RENT,40100.0
68584507,1 year,RENT,42000.0
68466924,< 1 year,RENT,47590.0
68367009,10+ years,MORTGAGE,39000.0
68475450,7 years,MORTGAGE,106000.0
68525943,10+ years,MORTGAGE,145000.0
68340446,2 years,MORTGAGE,60000.0
68615169,5 years,MORTGAGE,62000.0
68397043,2 years,MORTGAGE,85000.0
68506862,10+ years,OWN,70000.0
68341799,< 1 year,RENT,44000.0
68487261,10+ years,MORTGAGE,102500.0
68597047,9 years,OWN,75000.0
68366999,10+ years,OWN,45000.0
68506885,10+ years,RENT,42500.0
68394562,2 years,MORTGAGE,175000.0
68416953,,MORTGAGE,45000.0
68587652,1 year,MORTGAGE,150000.0
68407333,2 years,MORTGAGE,50000.0
68466066,4 years,RENT,60000.0
68436934,10+ years,RENT,70000.0
68617057,10+ years,MORTGAGE,65000.0
68536799,3 years,MORTGAGE,41600.0
68357012,6 years,MORTGAGE,110000.0
68376217,2 years,OWN,110000.0
68526942,10+ years,MORTGAGE,65000.0
68396080,10+ years,MORTGAGE,135000.0
68385794,1 year,RENT,40000.0
68374676,< 1 year,RENT,30000.0
68547679,10+ years,MORTGAGE,70000.0
68537594,6 years,RENT,32000.0
68565856,1 year,OWN,50000.0
68367006,10+ years,MORTGAGE,85000.0
68426699,6 years,MORTGAGE,55000.0
68377020,,RENT,80000.0
68446746,4 years,MORTGAGE,53750.0
68537564,< 1 year,MORTGAGE,45000.0
68446784,3 years,RENT,40000.0
68376533,5 years,MORTGAGE,75000.0
68476714,< 1 year,MORTGAGE,85000.0
66615254,9 years,OWN,20000.0
68396484,4 years,RENT,77213.0
68416256,6 years,OWN,72000.0
68446093,5 years,RENT,38000.0
