id,purpose,grade,sub_grade
68407277,debt_consolidation,C,C4
68355089,small_business,C,C1
68341763,home_improvement,B,B4
66310712,debt_consolidation,C,C5
68476807,major_purchase,F,F1
68426831,debt_consolidation,C,C3
68476668,debt_consolidation,B,B2
67275481,major_purchase,B,B1
68466926,credit_card,A,A2
68616873,credit_card,B,B5
68356421,debt_consolidation,C,C2
68426545,debt_consolidation,C,C2
68338832,other,C,C2
66624733,debt_consolidation,E,E2
68466961,debt_consolidation,A,A2
68354783,credit_card,A,A4
68466916,debt_consolidation,A,A4
68577849,debt_consolidation,C,C1
68506798,credit_card,B,B1
68495092,debt_consolidation,E,E3
68566886,debt_consolidation,C,C2
68009401,credit_card,C,C5
68476702,debt_consolidation,C,C3
68436666,credit_card,C,C3
68476715,debt_consolidation,A,A4
67849662,debt_consolidation,C,C5
68596180,debt_consolidation,A,A1
68526907,debt_consolidation,D,D4
68607141,credit_card,A,A1
68526883,home_improvement,A,A1
67715283,small_business,C,C2
68341789,debt_consolidation,F,F3
68533595,debt_consolidation,B,B4
68415473,debt_consolidation,C,C4
68537655,debt_consolidation,C,C2
68446769,credit_card,A,A4
68367011,credit_card,C,C4
68407301,other,C,C5
68356614,home_improvement,B,B5
68426865,credit_card,C,C5
68476676,house,D,D1
68566951,credit_card,D,D4
68615044,debt_consolidation,C,C4
68527009,debt_consolidation,B,B3
68547583,credit_card,A,A1
68587709,debt_consolidation,C,C3
68446771,debt_consolidation,D,D1
66796130,credit_card,B,B3
68617034,debt_consolidation,E,E4
68387134,other,D,D3
68566925,credit_card,B,B2
68516838,debt_consolidation,D,D3
68476697,credit_card,D,D2
68566856,debt_consolidation,C,C1
68543413,house,C,C2
68366663,home_improvement,B,B3
68416916,debt_consolidation,D,D5
68444620,home_improvement,C,C1
68082535,debt_consolidation,B,B2
68466995,credit_card,A,A5
68584507,credit_card,C,C3
68466924,credit_card,C,C1
68367009,debt_consolidation,D,D5
68475450,debt_consolidation,C,C2
68525943,debt_consolidation,C,C2
68340446,debt_consolidation,C,C5
68615169,credit_card,B,B1
68397043,debt_consolidation,C,C5
68506862,debt_consolidation,C,C4
68341799,credit_card,E,E3
68487261,debt_consolidation,C,C3
68597047,credit_card,C,C5
68366999,debt_consolidation,F,F2
68506885,debt_consolidation,C,C1
68394562,home_improvement,D,D1
68416953,vacation,A,A2
68587652,credit_card,A,A1
68407333,debt_consolidation,C,C3
68466066,debt_consolidation,D,D5
68436934,credit_card,E,E3
68617057,debt_consolidation,B,B4
68536799,debt_consolidation,B,B4
68357012,credit_card,B,B1
68376217,car,E,E4
68526942,home_improvement,D,D3
68396080,credit_card,B,B5
68385794,credit_card,B,B4
68374676,debt_consolidation,D,D2
68547679,debt_consolidation,C,C2
68537594,credit_card,A,A5
68565856,debt_consolidation,B,B2
68367006,credit_card,A,A2
68426699,debt_consolidation,A,A2
68377020,debt_consolidation,A,A1
68446746,debt_consolidation,A,A1
68537564,debt_consolidation,B,B4
68446784,credit_card,B,B4
68376533,debt_consolidation,A,A4
68476714,debt_consolidation,B,B5
66615254,debt_consolidation,D,D3
68396484,credit_card,C,C3
68416256,other,B,B3
68446093,credit_card,D,D2
66583801,debt_consolidation,B,B4
68466922,debt_consolidation,D,D3
